ward,pop_2021,pop_2016,median_age,dwellings_total,single_detached,apt_5plus,tenure_total,owned,rented,hhtype_total,one_person_hh,privhh_pop,immigrants,edu_total_15plus,bachelor_plus,med_hh_income,avg_rent,tenant_burden_30,avg_owner_cost,owner_burden_30,lim_at_rate,area_sq_km
toronto,2761285,2691665,39.6,1160895,270350,542625,1160885,602910,557970,1160890,385530,2761285,1286140,2377950,976620,84000,1562,40,2038,25.6,13.2,
01,115120,116955,38,38135,11270,15980,38130,20790,17340,38130,7785,115115,64675,96620,22120,81000,1328,34.2,1664,23.5,12.9,48.37
02,117200,116055,45.2,45345,21860,17860,45345,30565,14780,45345,11105,117205,48485,99900,37540,100000,1574,39.2,1930,18.8,7.9,37.35
03,139920,127525,40.8,65575,18585,30645,65570,37310,28260,65575,24520,139920,54670,121460,54175,90000,1592,40.9,2108,24.7,11,39.99
04,104715,106445,40,49445,8855,18955,49440,21610,27835,49440,19625,104715,32400,89700,45405,85000,1492,39.7,2280,20.3,12,15.33
05,115675,115130,40.4,45055,13190,18300,45050,21685,23370,45050,12850,115675,58205,97205,17910,72000,1196,34.8,1660,22.3,14.7,24.98
06,107355,103760,41.6,41265,10350,17860,41270,20535,20735,41270,11095,107360,59525,91800,30650,82000,1448,36.1,1918,25.3,11.5,35.36
07,111200,107725,37.6,37675,4690,15480,37675,18070,19605,37675,8280,111200,62700,92430,16310,73000,1261,33.2,1622,24,15.1,30.7
08,114820,112920,41.2,45910,17190,15340,45910,24515,21395,45915,14090,114820,44725,95710,45065,97000,1588,38,2418,20.3,10.1,22.66
09,104730,107395,38.4,45670,6470,8520,45670,23650,22025,45670,14995,104730,39645,91630,34340,85000,1552,41.3,1910,21.6,10.8,12.1
10,135400,114315,32.8,80730,500,71070,80735,33845,46885,80735,42205,135405,53910,126130,82560,89000,1988,43.7,2290,35.2,14.1,12.81
11,102385,100520,36.8,53510,4180,27355,53505,23085,30420,53505,24065,102385,34755,93395,57405,84000,1976,48.8,2592,29.8,15.3,13.6
12,114095,104940,39.6,58110,8850,32900,58110,22430,35680,58110,25500,114095,40430,100635,57100,86000,1768,44.6,2492,24.8,12.5,13.12
13,116930,99590,34.8,68965,250,58730,68965,20665,48300,68965,37570,116935,48730,107625,58605,65000,1520,43.1,2172,35.1,22.2,5.86
14,104555,105395,40.8,46235,8410,10185,46235,25380,20855,46235,16025,104555,31915,88370,40500,93000,1424,37.8,2138,18.2,11.5,20.8
15,101025,101790,41.2,40030,14730,16035,40030,20815,19215,40030,11845,101025,41420,83725,46220,102000,1716,40.9,2968,21.8,12.6,30.3
16,94335,93165,41.2,38285,5425,22545,38285,16940,21340,38285,11695,94335,50390,79750,29065,78500,1492,39.1,1846,26.1,14.4,22.96
17,112590,109055,40.4,45780,8825,25675,45785,25990,19790,45785,12555,112590,68280,98425,48980,84000,1754,43.6,1904,31.4,14.4,24.42
18,117130,117400,39.2,50550,12425,30705,50555,29340,21210,50555,15970,117125,70535,103695,57030,81000,1880,49.3,2202,37.6,17.8,19.76
19,108500,108440,41.2,45705,12790,11505,45700,25515,20190,45700,14595,108500,34420,89815,38480,89000,1370,38.6,2168,18.3,11.9,16.8
20,110095,108290,40.8,41905,14850,14260,41905,22735,19165,41905,11655,110095,50370,91970,28980,79000,1196,32.3,1872,22.7,13.9,28.14
21,111560,110445,40,40565,13880,16840,40560,23045,17520,40560,10070,111560,61670,94595,27210,78000,1338,35.8,1668,26,13.3,28.21
22,103690,104230,45.2,38345,11075,18080,38350,25370,12975,38350,9200,103690,66065,90390,28905,77000,1358,36,1640,32,14.7,21.4
23,94025,97610,42.8,29545,11790,6630,29545,23465,6085,29545,4420,94025,60740,80925,21660,87000,1408,33.3,1636,28.8,11.8,30.44
24,102755,101110,38.4,36240,12225,17140,36245,19925,16320,36245,8655,102755,54840,85580,25115,78000,1197,31.6,1776,25.4,14.7,26.11
25,101485,101445,42,32315,17685,4025,32315,25650,6665,32315,5160,101485,52660,86445,25270,105000,1362,32.7,1802,20.7,7.8,54.08
