ward,councillor,date_effective
01,Vincent Crisanti,2025-04-16
02,Stephen Holyday,2025-04-16
03,Amber Morley,2025-04-16
04,Gord Perks,2025-04-16
05,Frances Nunziata,2025-04-16
06,James Pasternak,2025-04-16
07,Anthony Perruzza,2025-04-16
08,Mike Colle,2025-04-16
09,Alejandra Bravo,2025-04-16
10,Ausma Malik,2025-04-16
11,Dianne Saxe,2025-04-16
12,Josh Matlow,2025-04-16
13,Chris Moise,2025-04-16
14,Paula Fletcher,2025-04-16
15,Rachel Chernos Lin,2025-04-16
16,Jon Burnside,2025-04-16
17,Shelley Carroll,2025-04-16
18,Lily Cheng,2025-04-16
19,Brad Bradford,2025-04-16
20,Parthi Kandavel,2025-04-16
21,Michael Thompson,2025-04-16
22,Nick Mantas,2025-04-16
23,Jamaal Myers,2025-04-16
24,Paul Ainslie,2025-04-16
25,Neethan Shan,2025-04-16
